year,month,day,hour,weekday,grid_id,temperture,rainy,holiday,car_number
2017,1,2,9,0,51,13,0,1,14.0
2017,1,2,9,0,52,13,0,1,0.0
2017,1,2,9,0,53,13,0,1,4.0
2017,1,2,9,0,54,13,0,1,4.0
2017,1,2,9,0,55,13,0,1,6.0
2017,1,2,9,0,56,13,0,1,7.0
2017,1,2,9,0,57,13,0,1,0.0
2017,1,2,9,0,58,13,0,1,2.0
2017,1,2,9,0,59,13,0,1,5.0
2017,1,2,9,0,60,13,0,1,24.0
2017,1,2,9,0,61,13,0,1,23.0
2017,1,2,9,0,62,13,0,1,21.0
2017,1,2,9,0,63,13,0,1,28.0
2017,1,2,9,0,64,13,0,1,9.0
2017,1,2,9,0,65,13,0,1,10.0
2017,1,2,9,0,66,13,0,1,8.0
2017,1,2,9,0,67,13,0,1,15.0
2017,1,2,9,0,68,13,0,1,15.0
2017,1,2,9,0,69,13,0,1,7.0
2017,1,2,9,0,70,13,0,1,12.0
2017,1,2,9,0,71,13,0,1,17.0
2017,1,2,9,0,72,13,0,1,9.0
2017,1,2,9,0,73,13,0,1,6.0
2017,1,2,9,0,74,13,0,1,10.0
2017,1,2,9,0,75,13,0,1,8.0
2017,1,2,9,0,76,13,0,1,1.0
2017,1,2,9,0,77,13,0,1,5.0
2017,1,2,9,0,78,13,0,1,22.0
2017,1,2,9,0,79,13,0,1,25.0
2017,1,2,9,0,80,13,0,1,8.0
2017,1,2,9,0,81,13,0,1,3.0
2017,1,2,9,0,82,13,0,1,4.0
2017,1,2,9,0,83,13,0,1,12.0
2017,1,2,9,0,84,13,0,1,15.0
2017,1,2,9,0,85,13,0,1,15.0
2017,1,2,9,0,86,13,0,1,10.0
2017,1,2,9,0,87,13,0,1,24.0
2017,1,2,9,0,88,13,0,1,2.0
2017,1,2,9,0,89,13,0,1,24.0
2017,1,2,9,0,90,13,0,1,4.0
2017,1,2,9,0,91,13,0,1,5.0
2017,1,2,9,0,92,13,0,1,34.0
2017,1,2,9,0,93,13,0,1,20.0
2017,1,2,9,0,94,13,0,1,12.0
2017,1,2,9,0,95,13,0,1,4.0
2017,1,2,9,0,96,13,0,1,12.0
2017,1,2,9,0,97,13,0,1,16.0
2017,1,2,9,0,98,13,0,1,15.0
2017,1,2,9,0,99,13,0,1,16.0
2017,1,2,9,0,100,13,0,1,10.0
2017,1,2,10,0,51,13,1,1,7.0
2017,1,2,10,0,52,13,1,1,0.0
2017,1,2,10,0,53,13,1,1,2.0
2017,1,2,10,0,54,13,1,1,1.0
2017,1,2,10,0,55,13,1,1,3.0
2017,1,2,10,0,56,13,1,1,10.0
2017,1,2,10,0,57,13,1,1,2.0
2017,1,2,10,0,58,13,1,1,3.0
2017,1,2,10,0,59,13,1,1,5.0
2017,1,2,10,0,60,13,1,1,15.0
2017,1,2,10,0,61,13,1,1,12.0
2017,1,2,10,0,62,13,1,1,13.0
2017,1,2,10,0,63,13,1,1,25.0
2017,1,2,10,0,64,13,1,1,10.0
2017,1,2,10,0,65,13,1,1,9.0
2017,1,2,10,0,66,13,1,1,11.0
2017,1,2,10,0,67,13,1,1,20.0
2017,1,2,10,0,68,13,1,1,19.0
2017,1,2,10,0,69,13,1,1,4.0
2017,1,2,10,0,70,13,1,1,14.0
2017,1,2,10,0,71,13,1,1,19.0
2017,1,2,10,0,72,13,1,1,13.0
2017,1,2,10,0,73,13,1,1,8.0
2017,1,2,10,0,74,13,1,1,7.0
2017,1,2,10,0,75,13,1,1,5.0
2017,1,2,10,0,76,13,1,1,0.0
2017,1,2,10,0,77,13,1,1,12.0
2017,1,2,10,0,78,13,1,1,21.0
2017,1,2,10,0,79,13,1,1,20.0
2017,1,2,10,0,80,13,1,1,7.0
2017,1,2,10,0,81,13,1,1,3.0
2017,1,2,10,0,82,13,1,1,7.0
2017,1,2,10,0,83,13,1,1,21.0
2017,1,2,10,0,84,13,1,1,16.0
2017,1,2,10,0,85,13,1,1,14.0
2017,1,2,10,0,86,13,1,1,11.0
2017,1,2,10,0,87,13,1,1,24.0
2017,1,2,10,0,88,13,1,1,7.0
2017,1,2,10,0,89,13,1,1,21.0
2017,1,2,10,0,90,13,1,1,8.0
2017,1,2,10,0,91,13,1,1,7.0
2017,1,2,10,0,92,13,1,1,38.0
2017,1,2,10,0,93,13,1,1,28.0
2017,1,2,10,0,94,13,1,1,12.0
2017,1,2,10,0,95,13,1,1,8.0
2017,1,2,10,0,96,13,1,1,17.0
2017,1,2,10,0,97,13,1,1,16.0
2017,1,2,10,0,98,13,1,1,29.0
2017,1,2,10,0,99,13,1,1,34.0
2017,1,2,10,0,100,13,1,1,17.0
2017,1,2,11,0,51,15,1,1,8.0
2017,1,2,11,0,52,15,1,1,0.0
2017,1,2,11,0,53,15,1,1,6.0
2017,1,2,11,0,54,15,1,1,5.0
2017,1,2,11,0,55,15,1,1,3.0
2017,1,2,11,0,56,15,1,1,11.0
2017,1,2,11,0,57,15,1,1,2.0
2017,1,2,11,0,58,15,1,1,2.0
2017,1,2,11,0,59,15,1,1,9.0
2017,1,2,11,0,60,15,1,1,20.0
2017,1,2,11,0,61,15,1,1,14.0
2017,1,2,11,0,62,15,1,1,18.0
2017,1,2,11,0,63,15,1,1,17.0
2017,1,2,11,0,64,15,1,1,8.0
2017,1,2,11,0,65,15,1,1,10.0
2017,1,2,11,0,66,15,1,1,14.0
2017,1,2,11,0,67,15,1,1,18.0
2017,1,2,11,0,68,15,1,1,15.0
2017,1,2,11,0,69,15,1,1,3.0
2017,1,2,11,0,70,15,1,1,11.0
2017,1,2,11,0,71,15,1,1,14.0
2017,1,2,11,0,72,15,1,1,11.0
2017,1,2,11,0,73,15,1,1,8.0
2017,1,2,11,0,74,15,1,1,3.0
2017,1,2,11,0,75,15,1,1,17.0
2017,1,2,11,0,76,15,1,1,4.0
2017,1,2,11,0,77,15,1,1,11.0
2017,1,2,11,0,78,15,1,1,17.0
2017,1,2,11,0,79,15,1,1,17.0
2017,1,2,11,0,80,15,1,1,10.0
2017,1,2,11,0,81,15,1,1,9.0
2017,1,2,11,0,82,15,1,1,5.0
2017,1,2,11,0,83,15,1,1,17.0
2017,1,2,11,0,84,15,1,1,15.0
2017,1,2,11,0,85,15,1,1,18.0
2017,1,2,11,0,86,15,1,1,15.0
2017,1,2,11,0,87,15,1,1,37.0
2017,1,2,11,0,88,15,1,1,10.0
2017,1,2,11,0,89,15,1,1,20.0
2017,1,2,11,0,90,15,1,1,2.0
2017,1,2,11,0,91,15,1,1,3.0
2017,1,2,11,0,92,15,1,1,37.0
2017,1,2,11,0,93,15,1,1,16.0
2017,1,2,11,0,94,15,1,1,13.0
2017,1,2,11,0,95,15,1,1,6.0
2017,1,2,11,0,96,15,1,1,14.0
2017,1,2,11,0,97,15,1,1,18.0
2017,1,2,11,0,98,15,1,1,35.0
2017,1,2,11,0,99,15,1,1,36.0
2017,1,2,11,0,100,15,1,1,12.0
2017,1,2,12,0,51,15,0,1,7.0
2017,1,2,12,0,52,15,0,1,0.0
2017,1,2,12,0,53,15,0,1,0.0
2017,1,2,12,0,54,15,0,1,6.0
2017,1,2,12,0,55,15,0,1,3.0
2017,1,2,12,0,56,15,0,1,7.0
2017,1,2,12,0,57,15,0,1,1.0
2017,1,2,12,0,58,15,0,1,0.0
2017,1,2,12,0,59,15,0,1,3.0
2017,1,2,12,0,60,15,0,1,14.0
2017,1,2,12,0,61,15,0,1,10.0
2017,1,2,12,0,62,15,0,1,9.0
2017,1,2,12,0,63,15,0,1,18.0
2017,1,2,12,0,64,15,0,1,6.0
2017,1,2,12,0,65,15,0,1,13.0
2017,1,2,12,0,66,15,0,1,8.0
2017,1,2,12,0,67,15,0,1,26.0
2017,1,2,12,0,68,15,0,1,27.0
2017,1,2,12,0,69,15,0,1,9.0
2017,1,2,12,0,70,15,0,1,13.0
2017,1,2,12,0,71,15,0,1,15.0
2017,1,2,12,0,72,15,0,1,10.0
2017,1,2,12,0,73,15,0,1,7.0
2017,1,2,12,0,74,15,0,1,9.0
2017,1,2,12,0,75,15,0,1,9.0
2017,1,2,12,0,76,15,0,1,3.0
2017,1,2,12,0,77,15,0,1,14.0
2017,1,2,12,0,78,15,0,1,19.0
2017,1,2,12,0,79,15,0,1,20.0
2017,1,2,12,0,80,15,0,1,12.0
2017,1,2,12,0,81,15,0,1,12.0
