year,month,day,hour,weekday,grid_id,temperture,car_number,holiday_0,holiday_1,rainy_0,rainy_1,xbg,lgb
2017,1,2,9,0,1,13,20.0,0,1,1,0,11.0,13.0
2017,1,2,9,0,2,13,7.0,0,1,1,0,10.0,9.0
2017,1,2,9,0,3,13,4.0,0,1,1,0,7.0,7.0
2017,1,2,9,0,4,13,3.0,0,1,1,0,7.0,7.0
2017,1,2,9,0,6,13,9.0,0,1,1,0,13.0,13.0
2017,1,2,9,0,7,13,5.0,0,1,1,0,7.0,7.0
2017,1,2,9,0,8,13,6.0,0,1,1,0,7.0,7.0
2017,1,2,9,0,9,13,4.0,0,1,1,0,6.0,6.0
2017,1,2,9,0,10,13,7.0,0,1,1,0,10.0,9.0
2017,1,2,9,0,11,13,6.0,0,1,1,0,10.0,9.0
2017,1,2,9,0,12,13,19.0,0,1,1,0,11.0,11.0
2017,1,2,9,0,14,13,11.0,0,1,1,0,12.0,13.0
2017,1,2,9,0,15,13,2.0,0,1,1,0,2.0,2.0
2017,1,2,9,0,16,13,13.0,0,1,1,0,12.0,11.0
2017,1,2,9,0,17,13,13.0,0,1,1,0,11.0,9.0
2017,1,2,9,0,18,13,13.0,0,1,1,0,12.0,12.0
2017,1,2,9,0,19,13,3.0,0,1,1,0,11.0,10.0
2017,1,2,9,0,20,13,6.0,0,1,1,0,5.0,5.0
2017,1,2,9,0,21,13,4.0,0,1,1,0,4.0,4.0
2017,1,2,9,0,22,13,5.0,0,1,1,0,7.0,7.0
2017,1,2,9,0,23,13,2.0,0,1,1,0,2.0,3.0
2017,1,2,9,0,24,13,21.0,0,1,1,0,15.0,15.0
2017,1,2,9,0,25,13,3.0,0,1,1,0,4.0,4.0
2017,1,2,9,0,26,13,25.0,0,1,1,0,22.0,23.0
2017,1,2,9,0,27,13,24.0,0,1,1,0,23.0,24.0
2017,1,2,9,0,28,13,13.0,0,1,1,0,12.0,11.0
2017,1,2,9,0,29,13,18.0,0,1,1,0,21.0,19.0
2017,1,2,9,0,30,13,13.0,0,1,1,0,14.0,13.0
2017,1,2,9,0,31,13,2.0,0,1,1,0,5.0,5.0
2017,1,2,9,0,32,13,13.0,0,1,1,0,13.0,12.0
2017,1,2,9,0,33,13,15.0,0,1,1,0,13.0,12.0
2017,1,2,9,0,34,13,4.0,0,1,1,0,1.0,3.0
2017,1,2,9,0,35,13,9.0,0,1,1,0,16.0,13.0
2017,1,2,9,0,36,13,4.0,0,1,1,0,7.0,7.0
2017,1,2,9,0,37,13,7.0,0,1,1,0,11.0,9.0
2017,1,2,9,0,38,13,11.0,0,1,1,0,12.0,11.0
2017,1,2,9,0,39,13,14.0,0,1,1,0,13.0,12.0
2017,1,2,9,0,40,13,12.0,0,1,1,0,21.0,18.0
2017,1,2,9,0,41,13,19.0,0,1,1,0,25.0,23.0
2017,1,2,9,0,42,13,8.0,0,1,1,0,4.0,5.0
2017,1,2,9,0,43,13,4.0,0,1,1,0,7.0,7.0
2017,1,2,9,0,44,13,25.0,0,1,1,0,44.0,35.0
2017,1,2,9,0,45,13,11.0,0,1,1,0,12.0,12.0
2017,1,2,9,0,46,13,4.0,0,1,1,0,6.0,6.0
2017,1,2,9,0,47,13,9.0,0,1,1,0,13.0,13.0
2017,1,2,9,0,48,13,6.0,0,1,1,0,10.0,10.0
2017,1,2,9,0,49,13,6.0,0,1,1,0,8.0,8.0
2017,1,2,9,0,50,13,15.0,0,1,1,0,12.0,12.0
2017,1,2,10,0,1,13,13.0,0,1,0,1,11.0,14.0
2017,1,2,10,0,2,13,7.0,0,1,0,1,9.0,9.0
2017,1,2,10,0,3,13,8.0,0,1,0,1,8.0,9.0
2017,1,2,10,0,4,13,12.0,0,1,0,1,8.0,8.0
2017,1,2,10,0,5,13,5.0,0,1,0,1,4.0,4.0
2017,1,2,10,0,6,13,11.0,0,1,0,1,12.0,12.0
2017,1,2,10,0,7,13,4.0,0,1,0,1,8.0,8.0
2017,1,2,10,0,8,13,8.0,0,1,0,1,8.0,8.0
