date,hour,temperture,rainy,holiday
1/2/2017,0,"11	","	0","	1"
1/2/2017,1,"11	","	0","	1"
1/2/2017,2,"10	","	0","	1"
1/2/2017,3,"10	","	0","	1"
1/2/2017,4,"10	","	0","	1"
1/2/2017,5,"10	","	0","	1"
1/2/2017,6,"10	","	0","	1"
1/2/2017,7,"10	","	0","	1"
1/2/2017,8,"11	","	0","	1"
1/2/2017,9,"13	","	0","	1"
1/2/2017,10,"13	","	1","	1"
1/2/2017,11,"15	","	1","	1"
1/2/2017,12,"15	","	0","	1"
1/2/2017,13,"15	","	0","	1"
1/2/2017,14,"14	","	0","	1"
1/2/2017,15,"14	","	0","	1"
1/2/2017,16,"14	","	0","	1"
1/2/2017,17,"13	","	0","	1"
1/2/2017,18,"13	","	0","	1"
1/2/2017,19,"12	","	0","	1"
1/2/2017,20,"10	","	0","	1"
1/2/2017,21,"9	","	0","	1"
1/2/2017,22,"9	","	0","	1"
1/2/2017,23,"9	","	0","	1"
1/3/2017,0,"8	","	0","	0"
1/3/2017,1,"9	","	0","	0"
1/3/2017,2,"8	","	0","	0"
1/3/2017,3,"9	","	0","	0"
1/3/2017,4,"8	","	0","	0"
1/3/2017,5,"7	","	0","	0"
1/3/2017,6,"7	","	0","	0"
1/3/2017,7,"7	","	0","	0"
1/3/2017,8,"8	","	0","	0"
1/3/2017,9,"10	","	0","	0"
1/3/2017,10,"11	","	0","	0"
1/3/2017,11,"11	","	0","	0"
1/3/2017,12,"12	","	0","	0"
1/3/2017,13,"12	","	0","	0"
1/3/2017,14,"13	","	0","	0"
1/3/2017,15,"14	","	0","	0"
1/3/2017,16,"14	","	0","	0"
1/3/2017,17,"13	","	0","	0"
1/3/2017,18,"12	","	0","	0"
1/3/2017,19,"11	","	0","	0"
1/3/2017,20,"11	","	0","	0"
1/3/2017,21,"11	","	0","	0"
1/3/2017,22,"11	","	0","	0"
1/3/2017,23,"11	","	0","	0"
1/4/2017,0,"11	","	0","	0"
1/4/2017,1,"11	","	0","	0"
1/4/2017,2,"11	","	0","	0"
1/4/2017,3,"12	","	0","	0"
1/4/2017,4,"12	","	0","	0"
1/4/2017,5,"12	","	0","	0"
1/4/2017,6,"11	","	0","	0"
1/4/2017,7,"11	","	0","	0"
1/4/2017,8,"12	","	0","	0"
1/4/2017,9,"13	","	0","	0"
1/4/2017,10,"15	","	0","	0"
1/4/2017,11,"15	","	0","	0"
1/4/2017,12,"16	","	0","	0"
1/4/2017,13,"16	","	0","	0"
1/4/2017,14,"16	","	0","	0"
1/4/2017,15,"15	","	0","	0"
1/4/2017,16,"15	","	0","	0"
1/4/2017,17,"14	","	0","	0"
1/4/2017,18,"14	","	0","	0"
1/4/2017,19,"14	","	1","	0"
1/4/2017,20,"13	","	0","	0"
1/4/2017,21,"13	","	1","	0"
1/4/2017,22,"13	","	1","	0"
1/4/2017,23,"12	","	1","	0"
1/5/2017,0,"12	","	1","	0"
1/5/2017,1,"12	","	1","	0"
1/5/2017,2,"11	","	1","	0"
1/5/2017,3,"11	","	1","	0"
1/5/2017,4,"11	","	1","	0"
1/5/2017,5,"11	","	1","	0"
1/5/2017,6,"11	","	1","	0"
1/5/2017,7,"11	","	1","	0"
1/5/2017,8,"10	","	1","	0"
1/5/2017,9,"11	","	1","	0"
1/5/2017,10,"11	","	1","	0"
1/5/2017,11,"10	","	1","	0"
1/5/2017,12,"11	","	1","	0"
1/5/2017,13,"11	","	1","	0"
1/5/2017,14,"11	","	1","	0"
1/5/2017,15,"11	","	1","	0"
1/5/2017,16,"11	","	1","	0"
1/5/2017,17,"10	","	1","	0"
1/5/2017,18,"11	","	1","	0"
1/5/2017,19,"10	","	1","	0"
1/5/2017,20,"10	","	1","	0"
1/5/2017,21,"10	","	1","	0"
1/5/2017,22,"10	","	1","	0"
1/5/2017,23,"10	","	1","	0"
1/6/2017,0,"10	","	1","	0"
1/6/2017,1,"10	","	1","	0"
1/6/2017,2,"10	","	1","	0"
1/6/2017,3,"10	","	0","	0"
1/6/2017,4,"10	","	1","	0"
1/6/2017,5,"10	","	1","	0"
1/6/2017,6,"11	","	1","	0"
1/6/2017,7,"11	","	1","	0"
1/6/2017,8,"11	","	1","	0"
1/6/2017,9,"12	","	1","	0"
1/6/2017,10,"12	","	0","	0"
1/6/2017,11,"13	","	0","	0"
1/6/2017,12,"14	","	0","	0"
1/6/2017,13,"14	","	0","	0"
1/6/2017,14,"14	","	0","	0"
1/6/2017,15,"14	","	0","	0"
1/6/2017,16,"14	","	1","	0"
1/6/2017,17,"13	","	1","	0"
1/6/2017,18,"13	","	1","	0"
1/6/2017,19,"13	","	1","	0"
1/6/2017,20,"13	","	1","	0"
1/6/2017,21,"13	","	1","	0"
1/6/2017,22,"13	","	1","	0"
1/6/2017,23,"12	","	1","	0"
1/7/2017,0,"12	","	1","	1"
1/7/2017,1,"12	","	1","	1"
1/7/2017,2,"13	","	1","	1"
1/7/2017,3,"13	","	1","	1"
1/7/2017,4,"12	","	1","	1"
1/7/2017,5,"13	","	1","	1"
1/7/2017,6,"13	","	1","	1"
1/7/2017,7,"13	","	1","	1"
1/7/2017,8,"13	","	0","	1"
1/7/2017,9,"13	","	1","	1"
1/7/2017,10,"13	","	0","	1"
1/7/2017,11,"13	","	0","	1"
1/7/2017,12,"14	","	1","	1"
1/7/2017,13,"14	","	1","	1"
1/7/2017,14,"14	","	1","	1"
1/7/2017,15,"14	","	1","	1"
1/7/2017,16,"14	","	1","	1"
1/7/2017,17,"12	","	1","	1"
1/7/2017,18,"11	","	1","	1"
1/7/2017,19,"11	","	1","	1"
1/7/2017,20,"10	","	1","	1"
1/7/2017,21,"10	","	0","	1"
1/7/2017,22,"9	","	0","	1"
1/7/2017,23,"9	","	0","	1"
1/8/2017,0,"9	","	0","	1"
1/8/2017,1,"8	","	0","	1"
